type,date,location,title,url,subtitle
Nachwuchsworkshop (EN),2022-09-20,Wien,Kartographisches Kolloquium,/en/events/eurocarto2022,"Workshop als Fachaustausch für junge Kartograph*innen"
Nachwuchsworkshop,2020-09-20,Virtuell,Service-orientierte Kartographie,/de/events/eurocarto2020,"Welchen Einfluss haben neue Rahmenbedingungen, Nutzungskontexte und Nutzungsverhalten auf die Produktion kartographischer Produkte?"
Symposium,2019-10-11,Berlin,Urban Mobility Symposium,https://www.citylab-berlin.org/events/mobilitysymposium/,"Karten, Daten, Geovisualisierung"
Workshop,2017-12-01,Berlin,Offene Daten in Forschung und Entwicklung,https://www.technologiestiftung-berlin.de/de/veranstaltungen/beitrag/offene-daten-in-forschung-und-entwicklung/,"Workshop zu freien Geodaten"
Nachwuchsworkshop,2015-10-07,Hamburg,Nutzerstudien in der Geovisualisierung,/de/events/workshop15_nutzerstudien
Nachwuchsworkshop,2015-10-08,Hamburg,Entwicklung und Einsatz von Software in der GI Science,/de/events/workshop15_gi-software,"Von der Datenerhebung/-verwaltung über die Analyse zur Visualisierung oder Veröffentlichung von Ergebnissen ist Software ein integrales Werkzeug in der Forschung."
Workshop,2015-01-20,Hamburg,GeoViz_Hamburg 2015,http://www.geomatik-hamburg.de/g2lab/geoviz-dm.html,"Supporting decision making through geovisualization — a view from different perspectives"
Workshop,2014-03-26,Hamburg,Anwendung empirischer Methoden in der Kartographie,/de/events/workshop14,"im Rahmen des 62. Deutschen Kartographentages"
Workshop,2013-03-06,Hamburg,GeoViz_Hamburg 2013,http://www.geomatik-hamburg.de/geoviz/,"Interactive maps that help people think"
Workshop,2012-10-08,Hannover,Map creation from user generated data,/en/events/workshop12,"Vor der Intergeo und dem Kartographentag 2012"
Workshop,2011-03-11,Hamburg,GeoViz_Hamburg 2011,http://www.geomatik-hamburg.de/geoviz11/,"Linking geovisualization with spatial analysis and modeling"
