title,firstname,lastname,institution
Prof. Dr.,Susanne,Bleisch,Fachhochschule Nordwestschweiz
Prof. Dr.,Manfred,Buchroithner,TU Dresden
Prof. Dr.,Gerd,Buziek,ESRI Deutschland Group GmbH
Prof. Dr.,Reiner,Buzin,Hochschule München
,Habiburrahman,Dastageeri,HfT Stuttgart
Dr.,Dennis,Edler,Ruhr Universität Bochum
Prof. Dr.,Sven,Fuhrmann,"George Mason University, Fairfax, USA"
,Natalia,Ipatow,"Leibniz-Institut für Länderkunde, Leipzig"
Prof. Dr.,Bernhard,Jenny,"Monash University, Australia"
Dipl-Geogr.,Christian,Hanewinkel,"Leibniz-Institut für Länderkunde, Leipzig"
Dr.,Michael,Hovenbitzer,"Bundesamt für Kartographie und Geodäsie, Frankfurt"
,Tom,Hoyer,"Leibniz-Institut für Länderkunde, Leipzig"
Prof. Dr.,Lorenz,Hurni,ETH Zürich
Prof. Dr.,Wolfgang,Kainz,Universität Wien
,Sebastian,Koslitz,"Leibniz-Institut für Länderkunde, Leipzig"
Prof. Dr.,Jukka Matthias,Krisp,Universität Augsburg
,Philipp,Meyer,Fachhochschule Nordwestschweiz
PD Dr.,Karl,Neumann,TU Braunschweig
Prof. Dr.,Volker,Paelke,"Fraunhofer IOSB, Lemgo"
Prof. Dr.,Gertrud,Schaab,Hochschule Karlruhe
Dipl.-Ing.,Holger,Scheerschmidt,Staatsbibliothek zu Berlin
M.Sc.,Sarah,Tauscher,TU Braunschweig
Dr.,Beate,Tomio,"PLATH, Hamburg"
Prof. Dr.,Robert,Weibel,Universität Zürich
Prof. Dr.,Alexander,Zipf,Universität Heidelberg
